event_id,equipment_id,ts,event_type,subtype,severity,value,details
EV_E0126_1749616680000000000,E0126,2025-06-11T10:08:00+05:30,FUEL,REFUEL,,5.0,Auto-logged fuel transaction
EV_E0126_1750387980000000000,E0126,2025-06-20T08:23:00+05:30,FUEL,REFUEL,,5.0,Auto-logged fuel transaction
EV_E0126_1748438700000000000,E0126,2025-05-28T18:55:00+05:30,FUEL,LOW_FUEL,,10.0,Low fuel threshold crossed
EV_E0126_1751632020000000000,E0126,2025-07-04T17:57:00+05:30,MAINTENANCE,FILTER_REPLACE,,3368.85,Reactive fix
EV_E0126_1747488180000000000,E0126,2025-05-17T18:53:00+05:30,ANOMALY,RAPID_DRAIN,LOW,13.2,Possible leak or theft detected
EV_E0126_1747303380000000000,E0126,2025-05-15T15:33:00+05:30,ANOMALY,EXCESS_IDLE,LOW,2.9,Idle hours spike beyond threshold
EV_E0126_1748164740000000000,E0126,2025-05-25T14:49:00+05:30,ANOMALY,GPS_DRIFT,MEDIUM,10.0,GPS drift beyond geofence
EV_E0126_1749022020000000000,E0126,2025-06-04T12:57:00+05:30,ANOMALY,EXCESS_IDLE,LOW,4.3,Idle hours spike beyond threshold
EV_E0126_1746858240000000000,E0126,2025-05-10T11:54:00+05:30,ANOMALY,FUEL_SPIKE,MEDIUM,20.8,Fuel usage unusually high vs baseline
EV_E0095_1750858260000000000,E0095,2025-06-25T19:01:00+05:30,FUEL,REFUEL,,5.0,Auto-logged fuel transaction
EV_E0095_1752737100000000000,E0095,2025-07-17T12:55:00+05:30,FUEL,LOW_FUEL,,10.0,Low fuel threshold crossed
EV_E0095_1753949460000000000,E0095,2025-07-31T13:41:00+05:30,FUEL,REFUEL,,6.0,Auto-logged fuel transaction
EV_E0095_1747884300000000000,E0095,2025-05-22T08:55:00+05:30,MAINTENANCE,PREVENTIVE,,4287.23,Scheduled PM
EV_E0095_1753369440000000000,E0095,2025-07-24T20:34:00+05:30,ANOMALY,EXCESS_IDLE,HIGH,5.2,Idle hours spike beyond threshold
EV_E0095_1751245200000000000,E0095,2025-06-30T06:30:00+05:30,ANOMALY,FUEL_SPIKE,MEDIUM,21.0,Fuel usage unusually high vs baseline
EV_E0095_1751965920000000000,E0095,2025-07-08T14:42:00+05:30,ANOMALY,GPS_DRIFT,LOW,7.5,GPS drift beyond geofence
EV_E0095_1753602300000000000,E0095,2025-07-27T13:15:00+05:30,ANOMALY,FUEL_SPIKE,MEDIUM,23.1,Fuel usage unusually high vs baseline
EV_E0095_1751177100000000000,E0095,2025-06-29T11:35:00+05:30,ANOMALY,RAPID_DRAIN,LOW,11.8,Possible leak or theft detected
EV_E0095_1748341200000000000,E0095,2025-05-27T15:50:00+05:30,ANOMALY,RAPID_DRAIN,MEDIUM,7.1,Possible leak or theft detected
EV_E0095_1750941180000000000,E0095,2025-06-26T18:03:00+05:30,ANOMALY,EXCESS_IDLE,LOW,3.6,Idle hours spike beyond threshold
EV_E0095_1749632820000000000,E0095,2025-06-11T14:37:00+05:30,ANOMALY,RAPID_DRAIN,HIGH,11.8,Possible leak or theft detected
EV_E0130_1753062060000000000,E0130,2025-07-21T07:11:00+05:30,FUEL,REFUEL,,5.0,Auto-logged fuel transaction
EV_E0130_1750571460000000000,E0130,2025-06-22T11:21:00+05:30,FUEL,REFUEL,,5.0,Auto-logged fuel transaction
EV_E0130_1747187400000000000,E0130,2025-05-14T07:20:00+05:30,FUEL,LOW_FUEL,,10.0,Low fuel threshold crossed
EV_E0130_1751112000000000000,E0130,2025-06-28T17:30:00+05:30,MAINTENANCE,PREVENTIVE,,3472.93,Scheduled PM
EV_E0130_1749050820000000000,E0130,2025-06-04T20:57:00+05:30,ANOMALY,EXCESS_IDLE,HIGH,3.8,Idle hours spike beyond threshold
EV_E0130_1748789400000000000,E0130,2025-06-01T20:20:00+05:30,ANOMALY,FUEL_SPIKE,LOW,22.8,Fuel usage unusually high vs baseline
EV_E0130_1753782900000000000,E0130,2025-07-29T15:25:00+05:30,ANOMALY,EXCESS_IDLE,LOW,6.0,Idle hours spike beyond threshold
EV_E0102_1749651600000000000,E0102,2025-06-11T19:50:00+05:30,FUEL,REFUEL,,7.3,Auto-logged fuel transaction
EV_E0102_1748175240000000000,E0102,2025-05-25T17:44:00+05:30,FUEL,LOW_FUEL,,10.4,Low fuel threshold crossed
EV_E0102_1751166120000000000,E0102,2025-06-29T08:32:00+05:30,FUEL,REFUEL,,5.0,Auto-logged fuel transaction
EV_E0102_1753507380000000000,E0102,2025-07-26T10:53:00+05:30,MAINTENANCE,BREAKDOWN,,2618.07,Reactive fix
EV_E0102_1749056700000000000,E0102,2025-06-04T22:35:00+05:30,ANOMALY,EXCESS_IDLE,LOW,3.5,Idle hours spike beyond threshold
EV_E0102_1749204180000000000,E0102,2025-06-06T15:33:00+05:30,ANOMALY,FUEL_SPIKE,MEDIUM,29.5,Fuel usage unusually high vs baseline
EV_E0102_1752838140000000000,E0102,2025-07-18T16:59:00+05:30,ANOMALY,EXCESS_IDLE,LOW,4.2,Idle hours spike beyond threshold
EV_E0102_1752503160000000000,E0102,2025-07-14T19:56:00+05:30,ANOMALY,FUEL_SPIKE,HIGH,27.0,Fuel usage unusually high vs baseline
EV_E0102_1749263100000000000,E0102,2025-06-07T07:55:00+05:30,ANOMALY,EXCESS_IDLE,LOW,4.3,Idle hours spike beyond threshold
EV_E0102_1750937040000000000,E0102,2025-06-26T16:54:00+05:30,ANOMALY,GPS_DRIFT,MEDIUM,7.3,GPS drift beyond geofence
EV_E0102_1750564260000000000,E0102,2025-06-22T09:21:00+05:30,ANOMALY,FUEL_SPIKE,LOW,26.2,Fuel usage unusually high vs baseline
EV_E0102_1746775020000000000,E0102,2025-05-09T12:47:00+05:30,ANOMALY,GPS_DRIFT,LOW,6.9,GPS drift beyond geofence
EV_E0102_1751598600000000000,E0102,2025-07-04T08:40:00+05:30,ANOMALY,EXCESS_IDLE,LOW,3.4,Idle hours spike beyond threshold
EV_E0023_1748355180000000000,E0023,2025-05-27T19:43:00+05:30,FUEL,REFUEL,,5.0,Auto-logged fuel transaction
EV_E0023_1748441220000000000,E0023,2025-05-28T19:37:00+05:30,FUEL,LOW_FUEL,,13.6,Low fuel threshold crossed
EV_E0023_1751074320000000000,E0023,2025-06-28T07:02:00+05:30,FUEL,REFUEL,,5.3,Auto-logged fuel transaction
EV_E0023_1753003200000000000,E0023,2025-07-20T14:50:00+05:30,MAINTENANCE,PREVENTIVE,,4650.67,Scheduled PM
EV_E0023_1750737660000000000,E0023,2025-06-24T09:31:00+05:30,ANOMALY,EXCESS_IDLE,LOW,2.9,Idle hours spike beyond threshold
EV_E0023_1748938560000000000,E0023,2025-06-03T13:46:00+05:30,ANOMALY,FUEL_SPIKE,MEDIUM,16.7,Fuel usage unusually high vs baseline
EV_E0023_1751168160000000000,E0023,2025-06-29T09:06:00+05:30,ANOMALY,FUEL_SPIKE,LOW,14.3,Fuel usage unusually high vs baseline
EV_E0023_1752937020000000000,E0023,2025-07-19T20:27:00+05:30,ANOMALY,EXCESS_IDLE,MEDIUM,4.5,Idle hours spike beyond threshold
EV_E0023_1750863900000000000,E0023,2025-06-25T20:35:00+05:30,ANOMALY,EXCESS_IDLE,HIGH,1.4,Idle hours spike beyond threshold
EV_E0023_1747804140000000000,E0023,2025-05-21T10:39:00+05:30,ANOMALY,FUEL_SPIKE,LOW,10.0,Fuel usage unusually high vs baseline
EV_E0120_1751198400000000000,E0120,2025-06-29T17:30:00+05:30,FUEL,REFUEL,,5.0,Auto-logged fuel transaction
EV_E0120_1747743660000000000,E0120,2025-05-20T17:51:00+05:30,FUEL,LOW_FUEL,,11.5,Low fuel threshold crossed
EV_E0120_1751884020000000000,E0120,2025-07-07T15:57:00+05:30,FUEL,REFUEL,,5.0,Auto-logged fuel transaction
